SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
M&MFIN, N2, 31-Aug-2021,1097,1117,1117,1089,1089,1089,1091.21,466,5.09,5,466,100
M14RG, MF, 31-Aug-2021,13.72,13.6,13.85,13.4,13.85,13.85,13.6,9000,1.22,3,8950,99.44
M17RG, MF, 31-Aug-2021,11.88,12.24,12.24,12.24,12.24,12.24,12.24,3100,0.38,3,3100,100
MAANALU, BE, 31-Aug-2021,138.75,138,144.8,131.85,135.8,133.45,134.91,36375,49.07,891, -, -
MACPOWER, EQ, 31-Aug-2021,182.75,181.65,184.25,177.7,182,181.7,181.61,44142,80.17,349,7734,17.52
MADHAV, EQ, 31-Aug-2021,59.45,61.95,61.95,58.55,59,59.45,60.17,14186,8.54,259,11123,78.41
MADHUCON, EQ, 31-Aug-2021,4.85,4.9,4.9,4.65,4.65,4.65,4.69,120344,5.65,182,93613,77.79
MADRASFERT, EQ, 31-Aug-2021,28.4,28.8,28.8,28,28.15,28.1,28.27,69566,19.67,590,49061,70.52
MAESGETF, EQ, 31-Aug-2021,29.01,29.88,29.88,29,29.35,29.28,29.19,7276,2.12,100,5432,74.66
MAFANG, EQ, 31-Aug-2021,53.04,53.8,53.8,53.26,53.35,53.48,53.39,195480,104.36,1332,168655,86.28
MAFSETF, EQ, 31-Aug-2021,17.84,19,19,17.81,18.06,18.03,17.95,171887,30.85,257,113940,66.29
MAGADSUGAR, EQ, 31-Aug-2021,279.35,279.35,284.4,277.05,277.05,280.85,281.76,13078,36.85,379,9585,73.29
MAGNUM, BE, 31-Aug-2021,8.1,8.5,8.5,7.7,7.8,7.8,7.99,35367,2.83,117, -, -
MAHABANK, EQ, 31-Aug-2021,18.1,18.15,18.5,18,18.1,18.05,18.22,5347877,974.31,7219,2301860,43.04
MAHAPEXLTD, BE, 31-Aug-2021,101.9,101.9,102.95,98,100,100,99.45,1297,1.29,15, -, -
MAHASTEEL, EQ, 31-Aug-2021,94.45,95.2,95.2,91.15,92.95,92.25,92.6,21288,19.71,698,14914,70.06
MAHEPC, EQ, 31-Aug-2021,134.45,134.45,136.15,132.45,133.5,133.15,134.23,33184,44.54,638,20985,63.24
MAHESHWARI, EQ, 31-Aug-2021,107.85,110,110,107.1,107.15,107.6,108.16,21244,22.98,765,15277,71.91
MAHICKRA, SM, 31-Aug-2021,77.45,75.25,75.25,75.25,75.25,75.25,75.25,1500,1.13,1,1500,100
MAHINDCIE, EQ, 31-Aug-2021,223.6,226.8,244.95,225.5,240.15,240.9,237.31,1724149,4091.5,29278,435418,25.25
MAHLIFE, EQ, 31-Aug-2021,771.4,779.9,782,760.1,761.5,760.65,768.61,31135,239.31,1420,21386,68.69
MAHLOG, EQ, 31-Aug-2021,784.55,771,788.85,761.1,768,766.2,776.11,146741,1138.87,8476,49775,33.92
MAHSCOOTER, EQ, 31-Aug-2021,4410.65,4400,4672,4377.75,4600.1,4622.45,4553.38,41385,1884.41,7591,15387,37.18
